"KEGG.id","Entry.type","KEGG.name","p.score"
"R05068","reaction","(R)-2,3-dihydroxy-3-methylpentanoate:NADP+ ox...",0.00728982989504161
"R05069","reaction","(S)-2-aceto-2-hydroxybutanoate:NADP+ oxidored...",0.00608993847267463
"R05070","reaction","(R)-2,3-dihydroxy-3-methylpentanoate hydro-ly...",0.00349017372421277
"R05071","reaction","(S)-2-acetolactate methylmutase",0.0177888798407529
"R05085","reaction","O-phospho-4-hydroxy-L-threonine:2-oxoglutarat...",0.0158890517553384
"R05097","reaction","(gibberellin-44),2-oxoglutarate:oxygen oxidor...",0.0333874683315237
"R05207","reaction","Leukotriene E4 + L-Glutamate <=> Leukotriene ...",0.0426866268548679
"R05229","reaction","Deacetylcephalosporin C + Succinate + CO2 <=>...",0.0379870521172639
"R05356","reaction","2-hydroxy-cyclohexan-1-one amidohydrolase",0.0367871606948968
"R05466","reaction","deoxyamidinoproclavaminate,2-oxoglutarate:oxy...",0.0469862377850163
"R05469","reaction","dihydroclavaminate,2-oxoglutarate:oxygen oxid...",0.0482861201592472
"R05507","reaction","6-aminohexanoate:2-oxogutarate aminotransfera...",0.0107895132102787
"R05518","reaction","dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose ...",0.043686536373507
"R05578","reaction","L-glutamate:tRNA(Glu) ligase (AMP-forming)",0.0171889341295693
"R06322","reaction","(gibberellin-44),2-oxoglutarate:oxygen oxidor...",0.0347873416576185
"R06323","reaction","(gibberellin-44),2-oxoglutarate:oxygen oxidor...",0.0458863373145132
"R06332","reaction","Gibberellin A9 <=> Gibberellin A20",0.0468862468331523
"R06336","reaction","(gibberellin-20),2-oxoglutarate:oxygen oxidor...",0.0374870973579442
"R06423","reaction","dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranos...",0.012689341295693
"R06424","reaction","dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose:...",0.0213885541078538
"R06426","reaction","dTDP-3-amino-3,4,6-trideoxy-D-glucose:2-oxogl...",0.0188887803112559
"R06514","reaction","dTDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-ep...",0.0361872149837134
"R06586","reaction","UDP-3-ketoglucose:L-glutamate aminotransferas...",0.00938963988418383
"R06619","reaction","Gibberellin A4 <=> Gibberellin A1",0.0494860115816142
"R06631","reaction","dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose:...",0.0176888888888888
"R06977","reaction","L-2,4-diaminobutyrate:2-oxoglutarate 4-aminot...",0.0260881288454579
"R07186","reaction","mugineic acid,2-oxoglutarate:oxygen oxidoredu...",0.048486102062975
"R07276","reaction","L-arogenate:2-oxoglutarate aminotransferase",0.0495860025334781
"R07601","reaction","4-Methyl-2-oxopentanoate + Thiamin diphosphat...",0.00808975750995296
"R07603","reaction","(S)-3-Methyl-2-oxopentanoic acid + Thiamin di...",0.00948963083604774
"R07613","reaction","LL-2,6-diaminoheptanedioate:2-oxoglutarate am...",0.016389006514658
"R07659","reaction","UDP-L-Ara4O + L-Glutamate <=> UDP-L-Ara4N + 2...",0.0106895222584148
"R07660","reaction","10-Formyltetrahydrofolate + UDP-L-Ara4N <=> T...",0.0494860115816142
"R08050","reaction","Ectoine + 2-Oxoglutarate + Oxygen <=> 5-Hydro...",0.0440865001809628
"R08254","reaction","Isoniazid + 2-Oxoglutarate <=> Isoniazid alph...",0.037787070213536
"R08566","reaction","4-methyl-2-oxopentanoate:ferredoxin oxidoredu...",0.00918965798045602
"R08567","reaction","(S)-3-methyl-2-oxopentanoate:ferredoxin oxido...",0.0277879750271444
"R08664","reaction","L-leucine,NADPH:oxygen oxidoreductase (N-hydr...",0.00818974846181686
"R08927","reaction","dTDP-3,4-dioxo-2,6-dideoxy-D-glucose <=> dTDP...",0.0423866539992762
"R08931","reaction","dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose:2-o...",0.0155890788997466
"R09401","reaction","L-glutamate:coenzyme gamma-F420-2 (ADP-formin...",0.0336874411871154
"R09403","reaction","L-isoleucine,[reduced NADPH---hemoprotein red...",0.0248882374230909
"R09594","reaction","tetrahydromethanopterin:alpha-L-glutamate lig...",0.0442864820846906
"R09697","reaction","UDP-N-acetylglucosamine hydro-lyase (invertin...",0.0447864368440101
"R09778","reaction","LysW-gamma-L-lysine:2-oxoglutarate 6-aminotra...",0.0155890788997466
"R09824","reaction","dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyran...",0.0135892598624683
"R09825","reaction","UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altro...",0.0108895041621426
"R09904","reaction","dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose:...",0.0212885631559899
"R10052","reaction","(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase",0.00748981179876942
"R10141","reaction","UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-g...",0.0107895132102787
"R10157","reaction","1-deoxypentalenic acid,2-oxoglutarate:oxygen ...",0.0363871968874412
"R10170","reaction","(2R,3S)-3-isopropylmalate hydro-lyase (2-isop...",0.031787613101701
"R10210","reaction","2-Oxoglutaryl-CoA + H2O <=> 2-Oxoglutarate + ...",0.0474861925443359
"R10415","reaction","(3S,5S)-carbapenam-3-carboxylate,2-oxoglutara...",0.0386869887803112
"R10460","reaction","GDP-4-amino-4,6-dideoxy-alpha-D-mannose:2-oxo...",0.0121893865363735
"R10677","reaction","citrate:L-glutamate ligase (ADP-forming)",0.0351873054650742
"R10678","reaction","N-acetyl-L-aspartate:L-glutamate ligase (ADP,...",0.038986961635903
"R10687","reaction","N-Acetylaspartylglutamate + H2O <=> N-Acetyl-...",0.0432865725660514
"R10688","reaction","N-Acetylaspartylglutamylglutamate + H2O <=> N...",0.0391869435396309
"R10693","reaction","N-acetyl-L-aspartyl-L-glutamate:L-glutamate l...",0.0366871697430329
"R10698","reaction","kanosamine-6-phosphate:2-oxoglutarate aminotr...",0.00988959464350347
"R10724","reaction","(2-aminoethyl)phosphonate,2-oxoglutarate:oxyg...",0.0131892960550127
"R10759","reaction","3-Hydroxyisovaleryl-CoA <=> 3-Hydroxyisovaler...",0.0142891965255157
"R10943","reaction","3-{[(2E)-4-amino-4-oxobut-2-enoyl]amino}-L-al...",0.000990399927614923
"R10944","reaction","3-{[(2E)-4-amino-4-oxobut-2-enoyl]amino}-L-al...",0.000990399927614923
"R10991","reaction","2-aminobutanoate:2-oxoglutarate aminotransfer...",0.000290463264567477
"R11260","reaction","Starch <=> Cyclomaltodextrin",0.0445864549402823
"R11409","reaction","GDP-4-dehydro-alpha-D-rhamnose 3-hydro-lyase",0.0195887169743033
"R11655","reaction","N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate:N...",0.024788246471227
"R11705","reaction","O-phospho-L-serine:L-glutamate N-(2S)-2-amino...",0.0350873145132103
"R11963","reaction","L-Glutamate + 8-Carboxy-8-demethylriboflavin ...",0.0375870883098082
"R12216","reaction","glutarate,2-oxoglutarate:oxygen oxidoreductas...",0.0403868349619978
"R12272","reaction","UDP-N-acetylmuramoyl-L-alanine---L-glutamate ...",0.033087495475932
"R12410","reaction","L-Propargylglycine + L-Glutamate <=> gamma-L-...",0.0168889612739776
"R12411","reaction","gamma-L-glutamyl-L-propargylglycine,2-oxoglut...",0.0086897032211365
"R12412","reaction","L-gamma-Glutamyl-(3R)-L-beta-ethynylserine + ...",0.0235883550488599
"R12553","reaction","UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-he...",0.0300877669200145
"R12554","reaction","UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-he...",0.0237883369525878
"R12555","reaction","UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose ...",0.0319875950054289
"R12606","reaction","UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-he...",0.0105895313065508
"R12826","reaction","3-epihydroxy-2'-deoxymugineic acid,2-oxogluta...",0.048486102062975
"R13098","reaction","N-Acetyl-L-glutamate <=> L-Glutamate",0.0465862739775606
"R13148","reaction","L-Glutamate 5-semialdehyde + NADP+ + H2O <=> ...",0.0481861292073833
"C00025","compound","L-Glutamate",0.0184888165038002
"C00026","compound","2-Oxoglutarate",0.00309020991675715
"C00123","compound","L-Leucine",0.000190472312703572
"C00175","compound","Cobalt ion",0.0144891784292435
"C00233","compound","4-Methyl-2-oxopentanoate",0.000190472312703572
"C00243","compound","Lactose",0.0143891874773796
"C00407","compound","L-Isoleucine",0.000290463264567477
"C00470","compound","Pectate",0.0309876854867898
"C00487","compound","Carnitine",0.0105895313065508
"C00492","compound","Raffinose",0.0284879116901918
"C00666","compound","LL-2,6-Diaminoheptanedioate",0.0292878393051032
"C00671","compound","(S)-3-Methyl-2-oxopentanoic acid",0.000790418023887113
"C00859","compound","Gibberellin A1",0.0399868711545422
"C00865","compound","Phospholipid",0.00529001085776328
"C00973","compound","Cyclomaltodextrin",0.0134892689106044
"C01177","compound","Inositol 1-phosphate",0.0232883821932682
"C01181","compound","4-Trimethylammoniobutanoate",0.018788789359392
"C01222","compound","GDP-4-dehydro-6-deoxy-D-mannose",0.0367871606948968
"C01417","compound","Cyanate",0.00898967607672821
"C01487","compound","D-Allose",0.00678987513572208
"C01641","compound","tRNA(Glu)",0.0312876583423815
"C01644","compound","tRNA(Ile)",0.00928964893231993
"C01645","compound","tRNA(Leu)",0.00808975750995296
"C01674","compound","Chitobiose",0.0149891331885632
"C01851","compound","Scopolamine",0.0418866992399565
"C01935","compound","Maltodextrin",0.0319875950054289
"C01946","compound","Oleandomycin",0.0492860296778864
"C02034","compound","Gibberellin A19",0.0421866720955483
"C02035","compound","Gibberellin A20",0.0398868802026782
"C02046","compound","L-Hyoscyamine",0.0379870521172639
"C02047","compound","L-Leucyl-tRNA",0.00808975750995296
"C02273","compound","Digalacturonate",0.0216885269634455
"C02378","compound","6-Aminohexanoate",0.0165889884183858
"C02631","compound","2-Isopropylmaleate",0.0354872783206659
"C02798","compound","3-Phosphonopyruvate",0.0283879207383279
"C02939","compound","3-Methylbutanoyl-CoA",0.00738982084690551
"C02987","compound","L-Glutamyl-tRNA(Glu)",0.0312876583423815
"C03127","compound","L-Isoleucyl-tRNA(Ile)",0.00928964893231993
"C03217","compound","2-Hydroxy-3-oxoadipate",0.047386201592472
"C03232","compound","3-Phosphonooxypyruvate",0.0263881017010496
"C03273","compound","5-Oxopentanoate",0.018788789359392
"C03325","compound","(6S)-Hydroxyhyoscyamine",0.0363871968874412
"C03415","compound","N2-Succinyl-L-ornithine",0.0417867082880926
"C03541","compound","THF-polyglutamate",0.042586635903004
"C03618","compound","L-threo-3-Methylaspartate",0.0391869435396309
"C03972","compound","2,3,4,5-Tetrahydrodipicolinate",0.0468862468331523
"C04181","compound","3-Hydroxy-3-methyl-2-oxobutanoic acid",0.0351873054650742
"C04236","compound","(2S)-2-Isopropyl-3-oxosuccinate",0.00359016467607668
"C04346","compound","dTDP-4-amino-4,6-dideoxy-D-galactose",0.024688255519363
"C04390","compound","N6-Acetyl-LL-2,6-diaminoheptanedioate",0.0248882374230909
"C04411","compound","(2R,3S)-3-Isopropylmalate",0.00678987513572208
"C04421","compound","N-Succinyl-LL-2,6-diaminoheptanedioate",0.00928964893231993
"C04462","compound","N-Succinyl-2-L-amino-6-oxoheptanedioate",0.0150891241404271
"C04613","compound","UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose",0.0287878845457835
"C04630","compound","UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-...",0.0371871245023525
"C05402","compound","Melibiose",0.0215885360115816
"C05539","compound","N-Acetyl-L-2-amino-6-oxopimelate",0.0219884998190373
"C05595","compound","4-Hydroxyphenylacetylglutamic acid",0.0416867173362287
"C05646","compound","5-Hydroxyindolepyruvate",0.0255881740861382
"C05672","compound","2-Amino-3-phosphonopropanoate",0.00838973036554467
"C05931","compound","N-Succinyl-L-glutamate",0.0326875316684763
"C05932","compound","N-Succinyl-L-glutamate 5-semialdehyde",0.0311876673905176
"C05996","compound","Branched chain fatty acid",0.00519001990589938
"C06006","compound","(S)-2-Aceto-2-hydroxybutanoate",0.0172889250814332
"C06007","compound","(R)-2,3-Dihydroxy-3-methylpentanoate",0.00449008324285193
"C06054","compound","2-Oxo-3-hydroxy-4-phosphobutanoate",0.0226884364820846
"C06055","compound","O-Phospho-4-hydroxy-L-threonine",0.0445864549402823
"C06094","compound","Gibberellin A53",0.0408867897213174
"C06095","compound","Gibberellin A44 diacid",0.0368871516467608
"C06102","compound","Adipate semialdehyde",0.0231883912414043
"C06232","compound","Molybdate",0.00898967607672821
"C06462","compound","Leukotriene F4",0.0426866268548679
"C06593","compound","epsilon-Caprolactam",0.0367871606948968
"C06620","compound","dTDP-3,4-dioxo-2,6-dideoxy-D-glucose",0.0363871968874412
"C06669","compound","(5R)-Carbapen-2-em-3-carboxylate",0.0386869887803112
"C09332","compound","THF-L-glutamate",0.0372871154542164
"C11860","compound","Gibberellin A15 open lactone",0.0395869073470865
"C11907","compound","dTDP-4-oxo-6-deoxy-D-glucose",0.0267880655085052
"C11908","compound","3,6-Dideoxy-3-oxo-dTDP-D-glucose",0.0153890969960188
"C12210","compound","UDP-3-ketoglucose",0.0121893865363735
"C12211","compound","UDP-kanosamine",0.00938963988418383
"C12213","compound","Kanosamine 6-phosphate",0.0188887803112559
"C12270","compound","N-Acetylaspartylglutamate",0.046186310170105
"C14463","compound","(R)-3-Hydroxy-3-methyl-2-oxopentanoate",0.00628992037640244
"C14819","compound","Fe3+",0.0242882917119073
