"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"ADENOSINE",-0.00564288402289908,-0.119642233246526,0.0848717019833376,-0.0807562740810778,0.326499674137225,-0.202700181654384,-0.175163564994885,0.0207362777619251,-0.182819087602897,0.114898690460831,-0.119364653276393,-0.0142020006522681,-0.0322920050045179,-0.0280282105455949,0.0139062170351953,-0.0199435415378839
"AGMATINE SULFATE",0.0892998537108637,0.107490311935911,0.0272490854913791,0.0103671744648755,-0.0770021511403519,-0.0165889296553722,-0.0184763810346941,0.00855250187928269,-0.0173107810692716,0.0916671124735929,-0.0591218078223618,0.0330872738637398,-0.0363118860138221,0.0395616931419164,-0.088307939763707,0.00515279690077676
"ALANINE",-0.0128441571182198,-0.033497766626793,0.0547323156022015,-0.078717124823653,0.0487202665555641,-0.0900119082428306,0.0449229820853272,-0.0204608721858494,-0.0939011024984327,-0.103829172531494,0.170428674496086,0.029294903772302,-0.199824863117833,0.113864828493372,0.106611444751513,0.0643958118702445
"AMINOADIPATE",0.0531999826970357,-0.0419564064158563,0.00620561412764758,-0.0642710785340977,0.012146133418336,0.115020757581843,-0.0438022873458821,-0.0743064634351418,0.0298911243909498,-0.0234777854975732,0.0206276636001452,-0.042088905524149,0.0192424064285152,0.0641933519255517,0.0192016692591133,0.0219480794565273
"AMINOISOBUTANOATE",-0.048721037395977,-0.207929457041983,0.0764574825781681,0.0318469883855316,-0.141945776810814,-0.00332368565017464,-0.0522982345266252,0.0558260780429004,0.0229231664874013,-0.245869047599355,0.0452711216253765,0.0847420357273974,-0.0808260469683262,0.0223884463309816,0.124589162196604,-0.108874202123094
"ARGININE",0.0252858856310704,-0.0478874204415325,-0.0442874721892693,0.0292094602106586,-0.00403240467350419,-0.0617840324984359,-0.0294667457262781,-0.0227383072470868,0.0340069941275684,-0.0382655217792462,0.000912782367880033,0.00199941781083955,-0.0122735715418538,0.037595082241531,0.0492888658561401,-0.0706713064924024
"ASPARTATE",-0.00403813537189013,-0.0155255813680616,0.0501196207371888,0.172380006717509,-0.114134285557776,-0.0417764775367006,-0.023371209688328,-0.0148258510999219,-0.0231837106371637,-0.167400849977525,-0.0728713221930268,-0.195428031604982,-0.0514918789530853,0.049192206451305,-0.06769816881853,0.0883506550095264
"AZELATE",0.0707999979888399,-0.0872020732297633,0.0374737329547419,-0.119496300434294,0.0771012137084827,0.0652231300151815,0.0872862622686491,-0.0297419883456215,-0.099325783257924,-0.0898221426794002,0.0468165420540238,-0.0231467601473879,0.0156611691137968,0.0483404036991129,-0.0909480103568887,-0.0629081054625362
"BENZOATE",0.0913138216264836,-0.103738337433153,0.0464440183514246,-0.165362566085264,0.0208312849043814,0.0780182491560442,0.0760412207650362,0.0086875706516258,-0.0952168465684979,-0.0438060963371367,0.0107345356274655,0.0338222968836228,0.0385899077054202,-0.00289492634347013,0.00184506589358047,-0.0202730548864372
"CADAVERINE",0.0181874625830104,-0.0365372982174084,-0.0399449004565795,0.091476927372152,-0.0975878174690618,-0.0322865424868489,-0.0217126130048638,-0.00623903576162902,0.121000398217072,-0.142966770959718,-0.00620715736592281,-0.161998816014004,-0.14445414450374,0.0278191910944528,-0.211301061733018,-0.177532105063916
"CHOLINE",0.0195519426882906,0.105667003294552,0.0538516159795494,-0.0938412974510732,0.0450201495442514,0.0693854786005275,-0.0535573545777763,0.19972166387431,0.130366938461475,0.0435314138488603,-0.067249684147523,-0.102600942451675,-0.215878560176984,0.0686624973788172,-0.00706395473866533,-0.00928282215467338
"CITICOLINE",-0.0349761138786267,0.0353544677892839,-0.0589974466198542,-0.00130003132418306,0.0533525437126536,-0.0736949309327453,0.100828515238171,-0.0572549499384562,0.0434672750366866,0.0285375192796372,0.0520642954689308,0.00324981844773691,-0.00723605416354433,-0.0455289525775395,0.0116887940050436,-0.135122547749837
"CITRULLINE",0.0135167681786071,-0.148141086681532,-0.00797843696423949,0.0103418355716994,0.0317087690123007,0.195561070352277,0.220912403665634,0.191320829274977,0.0964707583369054,0.0261894765015529,0.0945866055087994,-0.081536399906712,0.185220317356952,0.162285713201639,0.148883664326858,0.0377935221635895
"CYSTATHIONINE",-0.0340836380837676,-0.0338730225131881,-0.0242125274239962,0.0432056299458808,-0.0567306725290722,-0.0080228759703516,-0.0558770074980693,0.116531770273141,0.00655190639624504,-0.0881871543521602,0.00905633510332401,-0.0720888555319194,0.0419314944318163,0.0317719154806541,0.110319308707694,0.00569831692990638
"CYTIDINE",-0.160514312387474,-0.035030938337289,-0.0783759464584603,-0.249549968803494,-0.139107564680519,0.0679175863154127,0.0360627710609269,-0.188593270376966,-0.0852467281617308,0.00859061242442393,0.251368153901755,0.159471967226017,0.0198955380448602,0.0389822522722266,-0.330835330666743,0.0467105022231303
"CYTIDINE MONOPHOSPHATE",0.0299027734002464,-0.0399082118794212,-0.0134483812807411,0.049120781034414,0.0643246886046241,-0.0848138345961635,0.129300884739596,0.138046926669373,0.148109228347614,0.0935589235681216,-0.00539442308920259,0.0623094913401222,0.100881080863618,-0.0521542755095229,0.127722553135311,-0.0250896636080448
"DEOXYCARNITINE",-0.0414207538817329,-0.183966553286323,0.0344421008570073,-0.0295479728590774,-0.0727309030739267,-0.141633006456828,0.0798293061228466,-0.0738149608700304,-0.000111960609564653,-0.136813487748739,-0.0517864231790213,0.0941557029371509,0.0180790546820381,-0.0397841853399693,0.00075121740793694,-0.0683004343024412
