"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"ADENOSINE",0.10766668993127,-0.0876502877382802,0.0368665086122327,0.28897735259031,-0.0182658253091892,-0.0386335475410185,0.141568673017227,0.0311893334546067,0.0894544957930066,-0.115363799635834,0.204871858232831,-0.0370003769055954,-0.00126409691642998,0.240290506101173,0.0953214707382501,-0.0380048687316538,0.0177008123037269
"AGMATINE SULFATE",0.0625865237293055,0.0167181089659836,-0.0473442462019178,-0.0497655333121357,-0.00740660671916809,-0.0337477330382512,0.0880856123482007,-0.0489676696883431,-0.0890731720001149,-0.0201797628004825,-0.0764280091516788,-0.111680043393082,-0.0793137548177087,0.0360378236242007,0.135755074530664,-0.108752626221273,-0.0459582552534658
"ALANINE",0.0553919570456495,-0.0159663444386398,0.0343863595139282,0.0489665784114674,0.0527821158099876,0.0360760568511877,-0.0726224421678355,0.114267726089394,0.0112075500455793,0.218905350811163,0.0511398930211717,0.0120601537387231,0.0282172638146265,-0.138261078392255,0.182367735563154,-0.19262796025496,-0.0673764016744342
"AMINOADIPATE",0.0884222025364926,-0.0235139155877326,-0.000419358660035068,0.00219715369825846,-0.0805035601647717,-0.0415032786371439,0.0445744544294909,-0.038722164123327,0.137337520326144,-0.0540047617022976,-0.102250938850819,0.135842407882487,0.186297688284845,0.00457154464686702,0.0164852281815533,-0.0882891915938464,-0.0212483921921219
"AMINOISOBUTANOATE",-0.10774826146848,0.162134346212774,0.135482035356324,0.0963424759527015,-0.0532413686342349,0.0254270142551389,0.0298123994356007,-0.010553890569739,-0.0573381492787261,-0.00827784728228291,-0.105438220265576,-0.0326235023279575,0.117293925751807,0.103945288561308,-0.0615694298298297,0.0880850342335222,0.0279805768143356
"ARGININE",0.0331341145734708,-0.000538973064273785,0.0549868959580606,-0.0678025874392839,-0.000222718898745634,0.00666227544023725,0.00403965433803165,0.0178385110665966,-0.0268196247095676,0.0169760010922725,0.0553312984847226,-0.0481840965035121,-0.00227732019533881,-0.0372132635288198,0.0359263543088874,0.00843765309739875,0.00621431383125579
"ASPARTATE",0.0512277529161167,0.0854744098709949,-0.0508063217981064,-0.125310929349095,0.0550479828738911,0.00160574195415559,0.146958974579888,-0.0219298704081538,-0.094415427368084,-0.0213005425334384,0.161760473748768,-0.146710285951406,-0.0393885680182035,0.125714649882733,-0.05246731396123,-0.120889051903127,0.0895814332131292
"AZELATE",0.0641305598767663,0.00832032784422899,0.0986622321387766,-0.0015419599584731,-0.0154798827037612,0.0596633121376108,-0.0533031184082688,0.10705779055629,-0.015340648119809,-0.0370636239777597,0.0399035197949398,0.0815275557510102,0.0602588208334217,-0.00390822877856697,-0.103165810955468,0.000833569022255601,0.0492770173776777
"BENZOATE",0.0853058787114321,-0.0150462749038342,0.047179598248,0.0134234583059005,-0.0807618198692298,0.071264837020855,-0.0166972639310134,-0.0199653434923986,0.000410947040146466,0.0232548208189004,-0.0396487792266276,-0.0345557809841545,0.0842431270604964,-0.0578072479345151,-0.0272313018590632,-0.0186872208786991,0.00145705106554648
"CADAVERINE",-0.324085284908364,0.0861808419343548,0.357351283653487,0.0339202913952259,0.047188133413914,-0.202874732183093,0.330163079895018,-0.052707708052577,-0.0301496757293815,0.145475263815511,0.20092886368242,-0.0187036226510965,0.0111716028782323,-0.157846580901511,-0.1718178897413,-0.109813873552634,-0.0454881705555016
"CHOLINE",0.026035845922881,0.0219053543835457,-0.0324531691054037,0.0268336670150862,-0.0433341071733114,-0.0610335978363682,0.0162362386426271,-0.120834986101632,-0.0336346794448229,-0.1683076843685,-0.226054765197608,-0.0138680401652663,-0.0189286809830441,-0.00711505180414113,-0.282385114017966,-0.336636023288999,0.0414244431878467
"CITICOLINE",0.0709529552494971,0.0191130432628433,0.0751084147550364,-0.0720683059227599,-0.0418632362680538,0.0343710845314569,0.0761860654613659,0.0332607162884308,-0.116188787354872,-0.0479048306686158,0.0278556259386853,-0.00944681860636726,-0.37575605200439,0.172712818912566,-0.0238960895484273,-0.0257717942255709,-0.112758788992804
"CITRULLINE",-0.0533877668003588,0.0509450920828151,0.265380414803956,-0.121588220381388,0.0624886347262568,0.301539503191178,0.0284249951940936,-0.00550999780038118,0.209026163323121,0.0974072940558967,0.0122633786111798,-0.484687890747349,-0.0182875358516485,-0.00137857143942195,-0.0150008364191023,0.165649785258413,0.017241250375169
"CYSTATHIONINE",-0.038384719830689,0.0417971082837851,0.057111984994322,-0.0373805910865213,-0.00818430492732083,-0.0753825263337683,0.06676278904607,-0.0157540763552323,0.0523688774483126,0.0598584735630886,-0.131906202010546,0.0478104351023656,-0.0990127343094073,0.0417338259376013,-0.198635782776211,-0.238896439763663,-0.044800142020463
"CYTIDINE",-0.0570785517577363,-0.193410982576711,0.157688144437259,-0.125369051598165,-0.0474224861962671,-0.0662281779780619,-0.07384531278626,0.040703113287342,0.0601293360920018,-0.0734673997421278,0.0400521571330643,0.0861136421288498,0.0739689611902345,0.0496706408202855,-0.0707125178320073,0.248050765156964,-0.0981063502416851
"CYTIDINE MONOPHOSPHATE",0.0523604722541507,-0.0758391851649229,0.108369326888952,0.127536046358838,0.00521005220620021,-0.208552612607534,0.0476201792911874,0.1741732304448,0.0044660120268602,-0.0959592595947183,-0.119660562198981,0.117704437819186,-0.109464732674622,-0.148175131746118,0.0307498273516766,0.00301883255110072,-0.0251634458139328
"DEOXYCARNITINE",-0.0982777531197092,0.0630045917919792,0.0998295308484954,0.162555400493463,-0.0482579401254818,0.0854127750562822,-0.131804242712566,-0.0946761182473261,0.0775079984491271,0.0313522359891968,0.0372672431577693,0.0302242531919321,0.0803946340718522,-0.0266195995511809,-0.0930486043217575,-0.0959524853478738,-0.00737916559665628
"DEOXYGUANOSINE",-0.35068729039118,0.0285624905322294,0.038730111869631,0.198290846430207,-0.0490677592737328,0.166913903894798,-0.024773833293205,-0.188104222540971,0.0484070458616122,-0.343685210841735,-0.0170843965556234,0.0321384886708867,-0.0313189519431978,-0.00366526357782391,0.0124404640364808,0.137802407904747,-0.13529651295341
"GAMMA-AMINOBUTYRATE",0.0190384376598386,0.0951667001798062,0.129474571557243,0.0616911544879025,-0.13194391541816,0.0387836572889446,-0.0241773673596444,0.0286186992039579,-0.0799878037270321,0.0563124852997355,-0.14508180623707,-0.0486176037218144,-0.203270749365756,-0.198972566069398,-0.139823796282919,0.154214699707189,-0.108362158144978
"GLUTAMATE",0.0495486479378408,0.0105111458694538,0.00803372176688541,-0.0297218258406546,0.00408096843516395,-0.00925452941539478,-0.0320506639000653,-0.000345533099875032,-0.0528066927420359,-0.0497886094410155,0.0378119647328035,-0.0374865730763937,0.00527020152994828,-0.139122529217356,0.205155680857124,-0.0471861215116768,-0.0567879043337455
"GLUTAMINE",-0.0305207799162883,-0.0438850749808112,-0.0531116108554504,0.00415240632605172,-0.0137132249948775,0.0186165718411258,0.143323890085302,0.0264202102102263,-0.100057657774503,0.0181792764033285,-0.0816907102346692,-0.0512568089250225,-0.0149143678684409,0.114043663914401,-0.115168479232199,-0.0441435610736074,-0.00218560614765104
"GLUTARYLCARNITINE",-0.0987590517414427,-0.331312093337421,0.138746785922565,0.0979568455953634,-0.226242248941396,-0.0648040399711675,-0.0861562952144956,-0.0149929119719117,-0.080342344037456,0.230117283938818,0.0244589179097698,-0.0981860907790835,-0.00705304602317273,0.0947834569878417,0.0407295178490333,-0.0220342098554627,0.201840463368878
"GLUTATHIONE REDUCED",0.057221272498167,0.0763762487639651,0.0610002970033829,-0.126521261352941,0.0418953323819679,-0.0690798924364333,0.184666019777407,-0.0800207159757764,0.165809218028592,-0.188208322420156,0.13504029721451,0.0045880660056724,0.0593047854520511,-0.0518443162073718,0.0953284394653204,0.0581040243454984,0.119233954860621
"GUANINE",-0.0969390844871646,-0.0409386803593257,-0.108725146684217,-0.0248098524334709,0.0131372057817761,-0.0782849380331003,-0.0416125611855072,0.0574116040206112,0.105972497759654,-0.00536916535370424,0.0499207290183231,0.171574516573734,-0.00247709843254445,0.142526874011188,0.0427089384304005,-0.00423315721225203,-0.00586295594361639
"GUANOSINE",-0.105948450822111,-0.0754685306756618,-0.0769534697358101,0.0358623020206026,0.0119549297884628,-0.00979609714589147,-0.0704912776209704,-0.0399802324144115,0.0616719873128409,-0.0687024386437567,0.0307246223144875,-0.00438667754246646,0.115386144098402,0.0529302048579878,-0.051969632421661,0.0153891597119892,0.166497645799631
"HIPPURATE",0.0972094355170006,-0.0914073273461475,-0.0630009102327553,0.0555797329395416,0.0305009979637443,0.0876653870965445,0.0669678447976981,-0.0752538262794631,-0.244561807204162,-0.27188543084268,0.12711693276669,-0.106424501328395,-0.0760094070765372,-0.304262653857977,-0.0675316493628673,0.134054810416897,0.100285168413666
"HISTAMINE",0.0912026350011261,-0.0912968515103549,0.0748833788512445,-0.0767987218172273,-0.085598082650962,-0.0905282571369508,0.101648280082613,-0.0644743505094172,-0.0761577232913933,-0.0716258157202,-0.0547689618160617,-0.142034745319205,-0.0311347923778937,-0.0594748378393923,-0.153190085404463,0.0798519308314956,0.0802051898801951
"HISTIDINE",0.0268733004683898,-0.0582990057216801,0.0609868658095135,-0.0304605589333028,-0.142569196547818,-0.0172906076052569,-0.0146778806865244,0.0537669011934904,-0.0609413751582977,-0.185423953156424,0.0311983231219739,-0.047424551606804,0.25798475479811,0.0874544676930985,0.0849249268564875,0.170174025565919,-0.258408124349392
"HISTIDINOL",-0.0798005101850692,-0.116664162762123,-0.0713170744651467,0.0794866450692324,-0.0772043053624171,-0.0408311184842526,-0.0575784628624285,0.0350296648137742,-0.0534692604377561,-0.0757836079435976,-0.0570209616561105,-0.21550193751907,0.100554096660521,0.00189802329494566,-0.060908240809895,0.0392161708622267,0.116687658038579
"HYPOXANTHINE",0.00226695673392694,0.0529412982423889,-0.0373608310478355,-0.0310192047073753,-0.0492904290479045,-0.0868035413910696,-0.339960644968268,-0.140806819232745,0.0900996146585605,-0.132376738381261,-0.128425034673765,-0.0795681167931316,-0.0993897867335496,-0.125703849942115,0.0977468638760545,0.08314769604655,0.0886507173036849
"INDOLE-3-ACETATE",0.0127778721596988,-0.129384272371455,0.179887746819744,-0.046300304085245,0.416724610141991,0.166337927088992,0.124315540865096,-0.181145665212674,0.231545605344209,-0.0221196303047421,-0.19351605528584,0.089883441469374,-0.228842189090134,0.228418925343659,0.14245991258558,0.195223023145786,0.0185137699450341
