"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"AZELATE",0.031550782117954,-0.103671029893446,0.0221268650926361,0.0121032794124665,-0.0483930190235166,0.0750684664222516,0.0243452242342153,-0.0925193466230582,-0.0464279543473101,0.0372626516279262,-0.0180169814278852,-0.0136363223108926,-0.0642339141621088,-0.0559928570914116,0.0423023864719289,-0.0379668102847186,0.0226429934020788
"BENZOATE",0.0271113641860114,-0.106151921232857,0.0733591620249895,0.0248625965958794,-0.102515960671109,0.144657945656296,0.0384475027692846,-0.0934103794539873,-0.102119328890441,0.0381731164485887,0.013792686089417,-0.00487272106481145,-0.14206738366352,-0.00684635198113668,-0.070135999831197,-0.0361019269173015,0.071371559758417
"CADAVERINE",0.14776897878073,0.419953435708575,0.0363330279053511,0.0835039003930971,-0.0982059056964439,0.163197525573132,0.0091689907723766,-0.183953249774742,-0.134108833975585,-0.226161825748105,0.268608308857998,0.0711511472339649,0.129005882993692,0.165488551185372,-0.118568393482316,0.0188579660758974,0.134679467545512
"CHOLINE",0.0410239446800336,-0.0608275670403631,-0.017293189193101,0.031907135586734,0.0207600237856437,0.051923178256712,-0.0514291832082987,-0.0153355938135285,-0.102514315922014,0.0317631336566185,0.10084187053602,0.00429254230828543,-0.0856415215983465,0.00742358693598236,-0.050406190796369,0.0571016877882866,-0.0495495736247848
"CITICOLINE",0.0248927626802364,-0.0556077613009554,0.0761293504151041,-0.0611911215550488,0.0333914912957283,0.0537793334268365,-0.00957029420279353,0.028188630606641,-0.0425755924654678,0.00171499541701718,0.0677953519113231,0.0887064314880654,-0.0352795726095109,0.0795938400374719,0.0397775874479984,-0.0163479315843224,0.0716671840021843
"CITRULLINE",0.0438957128990634,-0.0442671180493757,0.011275577032347,0.15686199236754,0.0315982601372179,0.0633031178106755,-0.0879797089599485,-0.0174354209483486,0.17151158098937,-0.283021350139769,-0.115210034051663,-0.168448568283844,-0.0340116785043677,-0.0777656372273091,0.147233978002082,-0.0919754554670855,-0.0462950975236393
"CYSTATHIONINE",0.0475890357622801,0.113426089425489,-0.0102090437348466,-0.0131130980364677,0.0840052094780646,0.0359723499449036,0.0343816427485499,0.0587984593108639,-0.173957215365916,-0.0453156646746447,-0.139920036933528,-0.0195404890446813,0.172947330174023,-0.0335575986135689,0.130341929982813,0.140807823164127,0.0135157260626558
"CYTIDINE",-0.00409020947334003,-0.176872127597797,-0.0564228989982951,0.195371010666855,-0.0134803178007184,-0.00830868586313878,0.00357468724486512,0.0957391172839747,0.0379555875458052,0.0757147467461802,-0.0140362904554781,-0.201894551129534,-0.1573796683426,0.0106971028380491,-0.0435565625162602,-0.0777540135105264,-0.0686486339377268
"CYTIDINE MONOPHOSPHATE",0.0239006022783583,0.0150179943835581,-0.0619185248829343,-0.132324469706804,0.0211288276212754,-0.167525733738188,0.0844519320287154,-0.0342960171288679,-0.0921072454811602,-0.133029469631226,-0.051784109614581,-0.155972062737412,-0.07536036124826,0.198116537846996,0.214639020309017,0.282102279759,-0.0999479677946973
"DEOXYCARNITINE",0.0605622795009327,0.100033448659846,-0.0730776252463576,0.076001622926689,-0.171994535316503,-0.0294712549636973,-0.000563058567909504,-0.00940580211969919,-0.0254465697905215,0.0877560115092561,0.0546653201246315,-0.0172517435862684,-0.0101669880040831,0.0860553908454185,-0.117303689259177,0.012153304216549,0.000414261917592199
